=== 종목 배치 적재 (GICS 계층화) ===

모드: cron (sector_id 재시도)

  섹터 매핑 테이블 로드 중...
  gics_yfinance_map: 176건, sectors L1: 12건, sectors 전체: 220건

[cron] sector_id 미설정 종목 조회 중...
  대상: 10798개

  [224/10798] 371870 (KR): null (매핑 실패)
  [225/10798] 610071 (KR): null (매핑 실패)
  [226/10798] 570063 (KR): null (매핑 실패)
  [227/10798] 610025 (KR): null (매핑 실패)
  [228/10798] 407820 (KR): null (매핑 실패)
  [229/10798] 580065 (KR): null (매핑 실패)
  [230/10798] 001525 (KR): sector_id=235
  [231/10798] 247540 (KR): sector_id=209
  [232/10798] 0113G0 (KR): null (매핑 실패)
  [233/10798] 039030 (KR): sector_id=127
  [234/10798] 277810 (KR): sector_id=213
  [235/10798] 306520 (KR): null (매핑 실패)
  [236/10798] 0015E0 (KR): null (매핑 실패)
  [237/10798] 570107 (KR): null (매핑 실패)
  [238/10798] 0001P0 (KR): null (매핑 실패)
  [239/10798] 321410 (KR): null (매핑 실패)
  [240/10798] 253160 (KR): null (매핑 실패)
  [241/10798] 227550 (KR): null (매핑 실패)
  [242/10798] 400590 (KR): null (매핑 실패)
  [243/10798] 610039 (KR): null (매핑 실패)
  [244/10798] 700018 (KR): null (매핑 실패)
  [245/10798] 0094X0 (KR): null (매핑 실패)
  [246/10798] 465620 (KR): null (매핑 실패)
  [247/10798] 310210 (KR): sector_id=129
  [248/10798] 064760 (KR): null (매핑 실패)
  [249/10798] 500024 (KR): null (매핑 실패)
  [250/10798] 357780 (KR): sector_id=231
  [251/10798] 446700 (KR): null (매핑 실패)
  [252/10798] 0172Y0 (KR): null (매핑 실패)
  [253/10798] 550099 (KR): null (매핑 실패)
  [254/10798] 570105 (KR): null (매핑 실패)
  [255/10798] 498050 (KR): null (매핑 실패)
  [256/10798] 580051 (KR): null (매핑 실패)
  [257/10798] 314700 (KR): null (매핑 실패)
  [258/10798] 222800 (KR): sector_id=127
  [259/10798] 500068 (KR): null (매핑 실패)
  [260/10798] 253240 (KR): null (매핑 실패)
  [261/10798] 500038 (KR): null (매핑 실패)
  [262/10798] 010170 (KR): sector_id=121
  [263/10798] 196170 (KR): sector_id=129
